"Año","Código actividad económica","Nombre actividad económica","Código sector económico","Nombre sector económico","Código subsector económico","Nombre subsector económico","Costos y gastos nómina","Aportes seguridad","Aportes a entidades","Efectivo y equivalentes","Inversiones e instrumentos","Cuentas y otros por cobrar","Inventarios","Propiedades","Otros activos","Total patrimonio bruto","Pasivos","Total patrimonio líquido","Ingresos ordinarios","Ingresos financieros","Otros ingresos","Total ingresos brutos","Devoluciones, rebajas","Ingresos no renta","Total ingresos netos","Costos","Gastos administración","Gastos distribución","Gastos financieros","Otros gastos","Total costos y gastos","Renta líquida ordinaria","Pérdida líquida","Compensaciones","Renta líquida","Renta presuntiva","Renta exenta","Rentas gravables","Renta líquida gravable","Ingresos ganancias ocasionales","Costos ganancias ocasionales","Ganancias ocasionales no gravadas","Ganancias ocasionales gravables","Impuesto RLG","Descuentos tributarios","Impuesto neto de renta","Impuesto ganancias ocasionales","Total Impuesto a cargo","Anticipo renta año anterior","Saldo a favor año anterior","Autorretenciones","Otras retenciones","Total retenciones","Anticipo renta siguiente año","Saldo a pagar por impuesto","Sanciones","Total saldo a pagar","Total saldo a favor"
"2018","8513","EDUCACIÓN BÁSICA PRIMARIA","10","ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA Y DEFENSA, DE ENSEÑANZA, ACTIVIDADES DE ATENCIÓN DE LA SALUD Y DE ASISTENCIA SOCIAL","16","EDUCACIÓN","184728","27478","10641","72801","37764","60232","912","348043","6138","541078","171505","370496","453081","5567","17231","476634","7010","813","468810","152907","220953","42547","9387","4393","430188","34202","976","2472","31656","1651","19535","24","12300","183","155","28","0","3805","70","3735","0","3774","539","938","1032","1242","2274","728","1811","12","1822","1075"
"2017","6010","ACTIVIDADES DE PROGRAMACIÓN Y TRANSMISIÓN EN EL SERVICIO DE RADIODIFUSIÓN SONORA","7","INFORMACIÓN Y COMUNICACIONES","10","INFORMACIÓN Y COMUNICACIONES","178813","16753","7919","141537","265589","321468","24280","318571","21262","1125350","277594","850525","727025","11648","33475","776152","5371","4631","766103","38432","538205","86462","12432","3234","678764","90657","5019","80","90577","18169","2511","8","89602","30026","13406","0","16620","30390","425","29965","1662","35479","13325","850","6190","5450","11640","11835","19601","13","19611","1917"
"2021","2393","Fabricación de otros productos de cerámica y porcelana","3","Manufactura","3","Industrias manufactureras","284273","29711","7813","35574","302006","314189","273517","267551","3230","1229994","761470","469497","1888869","41240","25426","1955579","164705","77","1790796","1099818","199599","315265","46461","1403","1662547","129451","1201","0","129451","10","0","0","129459","0","0","0","0","40132","12821","27311","0","27311","14","73","43828","417","44245","11","4974","0","4974","21984"
"2013","8622","Actividades de la práctica odontológica","10","Actividades de la administración pública y defensa, de enseñanza, actividades de atención de la salud y de asistencia social","17","Actividades de atención de la salud humana y de asistencia social","133675","21861","6304","46427","25868","91515","11528","144479","34146","353964","196050","160031","691473","1233","10786","703492","1912","105","701475","299915","248475","62275","83","15666","326499","30191","2978","286","29905","3072","860","1","29187","1444","1238","0","210","6783","5","6778","21","6799","1149","2564","209","7921","8130","1661","2271","68","2308","5624"
"2015","6432","FONDOS DE CESANTÍAS","8","ACTIVIDADES FINANCIERAS, INMOBILIARIAS Y DE SEGUROS","11","ACTIVIDADES FINANCIERAS Y DE SEGUROS","18262","2649","970","10245668","0","4990889","0","85806","27549","15349911","4833573","10516338","2269207","4613647","23896","6906750","0","0","6906750","0","5942826","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019","5619","OTROS TIPOS DE EXPENDIO DE COMIDAS PREPARADAS N.C.P.","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","9","ALOJAMIENTO Y SERVICIOS DE COMIDA","404646","45255","13173","127253","47915","197627","40237","531252","111099","1116386","512376","618760","1491745","17536","9516","1518797","2740","34","1516023","901729","224942","279925","33426","8658","1448681","87808","28809","9148","78660","4699","4558","8","75977","3461","5147","0","631","24870","3537","21335","63","21398","469","1136","28291","10011","38302","298","929","19","941","19132"
"2016","5512","ALOJAMIENTO EN APARTA-HOTELES","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","9","ALOJAMIENTO Y SERVICIOS DE COMIDA","8084","813","245","8713","3856","15054","821","30153","970","59567","23371","36421","38978","213","958","40149","294","579","39277","8944","13806","10743","0","2495","35988","3731","442","0","3731","749","1731","0","2194","939","939","0","0","544","0","544","0","544","135","173","4","438","442","166","300","2","301","339"
"2021","2829","Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.","3","Manufactura","3","Industrias manufactureras","143745","19242","5263","130335","44486","254912","197172","215882","35290","912122","480520","446273","797898","10056","7908","816042","58717","246","757079","500505","121890","51048","18987","2830","695261","68292","6208","4119","64173","42","1233","76","63018","3128","2470","0","730","18782","1615","17168","73","17241","1529","7272","5508","15278","20787","1713","3151","73","3153","13691"
"2014","1051","Elaboración de productos de molinería","3","Manufactura","3","Industrias manufactureras","314764","33255","10812","411408","478187","1226469","844456","934751","71534","3966806","2317647","1685306","6261699","60653","199664","6522016","141366","86279","6294371","5032057","270660","611639","310","229948","1112557","175997","39502","22323","153675","40076","272","17","167523","36731","13273","5030","18427","41567","0","41563","1843","43406","5362","7342","40835","18970","59805","7159","10176","68","10233","32109"
"2019","5112","TRANSPORTE AÉREO INTERNACIONAL DE PASAJEROS ","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","8","TRANSPORTE Y ALMACENAMIENTO","22474","3493","1398","109873","57924","1118821","12","2019","5156","1294528","493532","802490","1253500","280605","2654","1536759","81","473028","1063650","686964","14436","67852","243054","459","1012764","51125","239","0","51125","144","50972","0","156","0","0","0","0","51","0","51","0","51","1","167","220","66","285","0","1","1","2","402"
